Load	Indent Number	My Area	Keyence Area	Keyence Surface Area	My Box Area
4903	6	0.146092037984	281.685	366.524	0.0831530075093
2942	7	57.7771183346	263.323	387.256	129.442010169
4903	4	121.649013879	331.007	586.591	238.093849873
2942	5	126.157322863	242.73	294.955	280.835680216
490	7	52.7996009477	53.962	56.298	58.0670839211
1961	8	201.569000896	201.304	211.135	228.841325203
245	1	52.618213561	53.48	55.17	60.2521917547
1961	5	152.77803141	156.081	239.119	200.705065398
490	5	67.2697797277	67.182	68.968	65.1600577222
4903	2	108.379747991	344.728	549.347	289.863130214
9807	2	80.273009496	572.913	929.912	301.469263208
9807	5	0.18261504748	590.613	974.128	0.114332525478
245	9	37.2456325318	40.361	41.378	29.9085568196
490	4	58.7989887653	58.583	60.707	57.7021717381
490	1	60.0142842567	60.954	63.461	59.642066231
9807	6	0.068480642805	591.798	741.002	0.037655705011
4903	5	0.111851716581	243.293	450.748	0.0715106367264
1961	3	207.820063712	209.863	221.212	211.756740337
490	6	57.1722059898	59.628	61.716	60.2966962197
980	1	138.101554263	133.479	137.312	143.015852494
1961	9	201.086056978	205.061	217.342	247.196987973
980	2	136.176580621	132.575	135.932	137.310050333
245	3	32.1395775941	33.51	34.494	32.9235352142
4903	3	0.0479364499635	370.022	632.335	0.0279629291454
490	2	53.6067748189	54.987	57.543	57.6914422797
4903	8	0.0798940832725	336.491	425.346	0.0472471672461
2942	6	204.101990504	218.622	291.808	266.895590376
4903	7	250.871986852	344.407	635.135	391.142158411
