Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
9807	5	1031.64493389	1027.905	1086.876
490	9	53.5590765052	53.756	54.998
1961	4	209.916704391	209.312	281.691
9807	2	1021.7145153	1019.355	1091.03
2942	4	307.521050249	307.961	320.761
4903	8	524.901765505	526.039	550.032
2942	2	314.11078238	313.759	325.381
4903	9	509.444997737	510.736	536.27
490	1	49.3698506111	49.555	50.825
4903	10	0.0429176711228	552.219	576.062
4903	2	521.964689905	522.281	547.669
1961	2	216.184698959	215.865	223.442
4903	3	520.801267542	520.328	551.332
2942	10	302.480760525	303.343	318.068
2942	3	316.232924246	315.651	329.05
980	10	108.418288818	108.631	112.015
9807	4	1031.31914894	1034.736	1100.847
980	6	107.676776822	107.121	110.695
490	7	54.0244454504	53.869	55.183
490	8	52.9732910819	52.523	53.979
490	5	52.239022182	51.985	53.313
4903	4	524.410140335	524.529	554.715
4903	5	512.553191489	513.584	541.197
9807	3	1048.64033165	1042.496	1090.731
980	7	106.662743323	106.157	109.317
2942	9	320.096876415	319.948	336.173
2942	8	311.734721593	311.789	328.064
1961	3	188.447841332	188.219	195.405
2942	6	310.794929833	310.513	327.485
1961	8	195.528343926	199.269	207.826
1961	5	217.310095066	216.716	224.682
980	2	109.621548212	109.083	112.379
490	4	52.1358080579	52.202	53.583
4903	1	532.529651426	532.506	558.469
1961	10	215.638468844	214.303	221.685
4903	7	540.588246037	537.185	561.973
2942	1	323.02308737	323.186	336.103
2942	7	327.157084654	326.831	340.964
2942	5	316.928021729	316.962	334.353
4903	6	519.009788882	515.597	541.937
