Load	Indent Number	My Area	Keyence Area	Keyence Surface Area	My Box Area
1961	5	214.84194497	214.845	298.374	272.328449078
980	9	113.655219492	113.349	118.129	137.736662466
4903	2	493.080330579	491.407	551.625	529.752404222
980	4	123.570247934	121.827	126.575	139.319917123
1961	7	223.687250578	223.423	241.456	276.518519821
2942	10	307.480046209	301.253	350.404	347.324313233
4903	4	449.558916194	450.503	521.717	520.041934278
980	6	111.901386263	11.039	115.933	133.213707975
4903	10	462.965950413	464.587	512.782	464.850663499
1961	4	247.875971435	247.331	257.857	291.250687602
2942	8	295.555030456	297.617	322.25	360.456689583
980	5	128.486662466	127.272	132.171	138.345306156
2942	2	293.923966942	302.679	329.529	384.013678742
4903	8	385.441608906	386.737	678.503	415.997243115
1961	2	233.324958678	227.502	239.566	272.574585718
4903	5	451.462402857	450.744	494.625	515.358346114
2942	3	410.649023314	399.695	413.956	476.745677248
4903	1	460.105545054	458.359	521.484	557.016362202
2942	4	347.342809917	347.561	392.025	366.111724534
980	7	113.831127914	114.072	119.431	132.358556807
1961	6	254.899180844	251.731	263.129	296.756207028
2942	7	280.600330579	282.589	329.672	317.531615776
